Date,Total Minutes,Good Posture Minutes
15 Jan 2025,5.12,0.72
16 Jan 2025,3.56,0.94
17 Jan 2025,3.44,0.67
19 Jan 2025,2.75,1.13
20 Jan 2025,0.3,0.06
20 Feb 2025,0.3,0.1
24 Feb 2025,2.3,1.25
26 Feb 2025,18.13,6.4
